epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
125,72478.8,1.34335,0.39782,0.16501,0.26375,0.20373,0.16392,0.0726,1.12133,0.46749,0.11582,0.003862,0.003862,0.003862
126,73441.7,1.32652,0.40048,0.16424,0.28744,0.21341,0.17501,0.07957,1.08888,0.47372,0.11415,0.0038125,0.0038125,0.0038125
127,74137.5,1.41585,0.36522,0.18096,0.29387,0.21904,0.18208,0.08501,1.06667,0.47677,0.11373,0.003763,0.003763,0.003763
128,74723.4,1.48441,0.34865,0.1943,0.27916,0.21124,0.17559,0.07957,1.09685,0.46744,0.1155,0.0037135,0.0037135,0.0037135
129,75308.2,1.51853,0.3421,0.19694,0.27327,0.20332,0.16623,0.07333,1.13231,0.45675,0.11799,0.003664,0.003664,0.003664
130,76034.2,1.37343,0.39079,0.17629,0.27327,0.20071,0.16474,0.0731,1.13903,0.45475,0.11788,0.0036145,0.0036145,0.0036145
131,77065.7,1.13005,0.46518,0.14106,0.2787,0.20396,0.16902,0.07587,1.12436,0.46009,0.11593,0.003565,0.003565,0.003565
132,77789.3,1.15037,0.45736,0.13957,0.27833,0.20645,0.17074,0.0771,1.1196,0.46249,0.11452,0.0035155,0.0035155,0.0035155
133,78508.8,1.15171,0.45518,0.14514,0.28659,0.21147,0.17444,0.0795,1.10541,0.46651,0.11285,0.003466,0.003466,0.003466
134,79228.6,1.57143,0.34311,0.25015,0.27806,0.21297,0.17359,0.07751,1.10937,0.46574,0.11383,0.0034165,0.0034165,0.0034165
135,80088.7,1.44348,0.36891,0.19377,0.27075,0.20884,0.16936,0.07427,1.12657,0.45927,0.1159,0.003367,0.003367,0.003367
136,85445.7,1.20122,0.4443,0.14846,0.27447,0.2103,0.17269,0.07614,1.11454,0.46274,0.11485,0.0033175,0.0033175,0.0033175
137,86170.9,1.10547,0.47308,0.13599,0.27683,0.21503,0.17893,0.08057,1.09504,0.46885,0.11293,0.003268,0.003268,0.003268
138,87058.2,1.1277,0.46511,0.13813,0.29896,0.2192,0.18419,0.08402,1.07739,0.47415,0.11144,0.0032185,0.0032185,0.0032185
